1.000000	6.570869	12.438850
1.000000	8.525446	7.268172
1.000000	9.860399	10.509870
1.000000	2.970036	3.989411
1.000000	4.045332	9.594389
1.000000	2.271929	10.477308
1.000000	3.903885	11.582350
1.000000	5.661733	10.751879
1.000000	2.940338	0.415122
1.000000	8.447304	9.159540
1.000000	4.911221	0.611829
1.000000	7.752362	10.932001
1.000000	3.716191	2.173890
1.000000	11.889191	6.260156
1.000000	11.438282	11.668295
1.000000	7.719486	3.996601
1.400000	5.330042	3.773256
1.400000	7.067314	1.753631
1.400000	0.859919	12.323442
1.400000	6.161846	8.541462
1.400000	9.590462	2.647900
1.400000	12.040247	3.875915
1.400000	3.968684	6.155845
1.400000	9.198430	12.795796
1.400000	10.635272	8.250002
1.400000	11.702775	1.145059
1.400000	1.276581	5.592601
1.400000	12.849752	9.761184
1.400000	1.370975	2.213686
1.400000	9.715873	5.323120
1.400000	2.163246	8.148329
1.400000	6.660555	6.004951
